x	RungeKutta4	SoluciónExacta	Error
6.65	5132.31	5132.37	0.0550741
6.66	5191.75	5191.81	0.055157
6.67	5251.87	5251.93	0.0552398
6.68	5312.68	5312.73	0.0553226
6.69	5374.17	5374.23	0.0554054
6.7	5436.36	5436.42	0.0554882
6.71	5499.26	5499.32	0.0555711
6.72	5562.88	5562.93	0.0556539
6.73	5627.22	5627.27	0.0557367
6.74	5692.28	5692.34	0.0558195
6.75	5758.09	5758.15	0.0559023
6.76	5824.65	5824.7	0.0559851
6.77	5891.96	5892.01	0.056068
6.78	5960.03	5960.09	0.0561508
6.79	6028.88	6028.93	0.0562336
6.8	6098.51	6098.56	0.0563164
6.81	6168.92	6168.98	0.0563992
6.82	6240.14	6240.2	0.0564821
6.83	6312.17	6312.22	0.0565649
6.84	6385.01	6385.07	0.0566477
6.85	6458.68	6458.73	0.0567305
6.86	6533.18	6533.24	0.0568133
6.87	6608.53	6608.59	0.0568961
6.88	6684.73	6684.79	0.056979
6.89	6761.8	6761.86	0.0570618
6.9	6839.74	6839.8	0.0571446
6.91	6918.56	6918.62	0.0572274
6.92	6998.28	6998.33	0.0573102
6.93	7078.9	7078.95	0.0573931
6.94	7160.43	7160.49	0.0574759
6.95	7242.88	7242.94	0.0575587
6.96	7326.27	7326.33	0.0576415
6.97	7410.6	7410.66	0.0577243
6.98	7495.89	7495.95	0.0578071
6.99	7582.15	7582.2	0.05789
7	7669.37	7669.43	0.0579728
7.01	7757.59	7757.65	0.0580556
7.02	7846.8	7846.86	0.0581384
7.03	7937.03	7937.09	0.0582212
7.04	8028.27	8028.33	0.0583041
7.05	8120.55	8120.6	0.0583869
7.06	8213.86	8213.92	0.0584697
7.07	8308.24	8308.3	0.0585525
7.08	8403.68	8403.74	0.0586353
7.09	8500.2	8500.26	0.0587181
7.1	8597.81	8597.87	0.058801
7.11	8696.52	8696.58	0.0588838
7.12	8796.35	8796.41	0.0589666
7.13	8897.3	8897.36	0.0590494
7.14	8999.4	8999.46	0.0591322
7.15	9102.65	9102.71	0.059215
7.16	9207.06	9207.12	0.0592979
7.17	9312.66	9312.72	0.0593807
7.18	9419.44	9419.5	0.0594635
7.19	9527.43	9527.49	0.0595463
7.2	9636.64	9636.7	0.0596291
7.21	9747.08	9747.14	0.059712
7.22	9858.77	9858.83	0.0597948
7.23	9971.72	9971.78	0.0598776
7.24	10085.9	10086	0.0599604
7.25	10201.5	10201.5	0.0600432
7.26	10318.3	10318.3	0.060126
7.27	10436.4	10436.5	0.0602089
7.28	10555.9	10555.9	0.0602917
7.29	10676.7	10676.7	0.0603745
7.3	10798.8	10798.9	0.0604573
7.31	10922.4	10922.4	0.0605401
7.32	11047.3	11047.4	0.060623
7.33	11173.7	11173.7	0.0607058
7.34	11301.4	11301.5	0.0607886
7.35	11430.6	11430.7	0.0608714
7.36	11561.3	11561.4	0.0609542
7.37	11693.4	11693.5	0.061037
7.38	11827.1	11827.1	0.0611199
7.39	11962.2	11962.2	0.0612027
7.4	12098.8	12098.9	0.0612855
7.41	12237	12237.1	0.0613683
7.42	12376.7	12376.8	0.0614511
7.43	12518.1	12518.1	0.061534
7.44	12661	12661	0.0616168
7.45	12805.5	12805.5	0.0616996
7.46	12951.6	12951.7	0.0617824
7.47	13099.4	13099.4	0.0618652
7.48	13248.8	13248.9	0.061948
7.49	13399.9	13400	0.0620309
7.5	13552.8	13552.8	0.0621137
7.51	13707.3	13707.4	0.0621965
7.52	13863.6	13863.6	0.0622793
7.53	14021.6	14021.7	0.0623621
7.54	14181.4	14181.5	0.0624449
7.55	14343	14343.1	0.0625278
7.56	14506.4	14506.5	0.0626106
7.57	14671.7	14671.7	0.0626934
7.58	14838.8	14838.8	0.0627762
7.59	15007.7	15007.8	0.062859
7.6	15178.6	15178.7	0.0629419
7.61	15351.4	15351.5	0.0630247
7.62	15526.2	15526.2	0.0631075
7.63	15702.9	15702.9	0.0631903
7.64	15881.5	15881.6	0.0632731
7.65	16062.2	16062.3	0.0633559
7.66	16244.9	16245	0.0634388
7.67	16429.7	16429.8	0.0635216
7.68	16616.5	16616.6	0.0636044
7.69	16805.5	16805.5	0.0636872
7.7	16996.5	16996.6	0.06377
7.71	17189.7	17189.8	0.0638528
7.72	17385.1	17385.1	0.0639357
7.73	17582.6	17582.7	0.0640185
7.74	17782.4	17782.4	0.0641013
7.75	17984.4	17984.4	0.0641841
7.76	18188.6	18188.7	0.0642669
7.77	18395.2	18395.3	0.0643498
7.78	18604.1	18604.1	0.0644326
7.79	18815.3	18815.3	0.0645154
7.8	19028.8	19028.9	0.0645982
7.81	19244.8	19244.9	0.064681
7.82	19463.2	19463.2	0.0647638
7.83	19684	19684.1	0.0648467
7.84	19907.3	19907.4	0.0649295
7.85	20133.1	20133.2	0.0650123
7.86	20361.4	20361.5	0.0650951
7.87	20592.3	20592.4	0.0651779
7.88	20825.8	20825.8	0.0652607
7.89	21061.8	21061.9	0.0653436
7.9	21300.6	21300.6	0.0654264
7.91	21542	21542	0.0655092
7.92	21786	21786.1	0.065592
7.93	22032.9	22032.9	0.0656748
7.94	22282.4	22282.5	0.0657577
7.95	22534.8	22534.9	0.0658405
7.96	22790	22790.1	0.0659233
7.97	23048	23048.1	0.0660061
7.98	23309	23309	0.0660889
7.99	23572.8	23572.9	0.0661717
8	23839.6	23839.7	0.0662546
8.01	24109.4	24109.4	0.0663374
8.02	24382.2	24382.2	0.0664202
8.03	24658	24658.1	0.066503
8.04	24936.9	24937	0.0665858
8.05	25218.9	25219	0.0666686
8.06	25504.1	25504.2	0.0667515
8.07	25792.5	25792.5	0.0668343
8.08	26084.1	26084.1	0.0669171
8.09	26378.9	26379	0.0669999
8.1	26677	26677.1	0.0670827
8.11	26978.5	26978.5	0.0671655
8.12	27283.3	27283.4	0.0672484
8.13	27591.5	27591.6	0.0673312
8.14	27903.2	27903.3	0.067414
8.15	28218.3	28218.4	0.0674968
8.16	28537	28537	0.0675796
8.17	28859.2	28859.3	0.0676624
8.18	29185	29185.1	0.0677453
8.19	29514.4	29514.5	0.0678281
